symbol,sector,market_cap,avg_volume,avg_turnover,volatility,cagr,fundamental_strength,market_cap_score,volume_score,stability_score,trend_score,bluechip_score,rank
HRL,Unknown,0.0,166140.425,148169997.0941667,0.29111573051979717,-0.20289793673786127,0.0,0.5,0.9040441591704101,0.7169897339346518,0.052749184666615066,0.545606102251068,1
RADHI,Unknown,0.0,202653.45,160100609.94000003,0.41550000691271644,1.4361592261937828,0.0,0.5,0.9772361808995631,0.4813733522351561,0.27215158813885193,0.545220891866472,2
SHIVM,Unknown,0.0,222489.38333333333,135608749.29625,0.29206402892068406,0.17340757020818942,0.0,0.5,0.828330597127302,0.7151934085109899,0.10312102924348737,0.5400886774019054,3
NGPL,Unknown,0.0,354707.61666666664,144874273.89333332,0.3513118292196522,0.6351997885113216,0.0,0.5,0.8866490039691095,0.6029625644290617,0.16493603172897942,0.5360576482468833,4
NRIC,Unknown,0.0,114589.35,164043190.36158332,0.3719592583610055,-0.04750061415807039,0.0,0.5,1.0,0.5638509284026987,0.07355050071478422,0.5306728322436315,5
HDL,Unknown,0.0,92240.525,118778213.57416667,0.2742977034603861,-0.08263818626375563,0.0,0.5,0.7239593540249762,0.7488474799293716,0.06884702365094744,0.5207731455175277,6
UMHL,Unknown,0.0,142205.20833333334,83678228.06833334,0.22705695424824562,0.5328004426528166,0.0,0.5,0.5108646159686182,0.8383338259605768,0.1512289670191943,0.5170021730877067,7
AKJCL,Unknown,0.0,370554.1,112405741.7425,0.38077885061696376,0.8847139432618829,0.0,0.5,0.689098339862929,0.5471443118135615,0.1983357242416559,0.4892728907743073,8
UNHPL,Unknown,0.0,270091.7833333333,132009458.81666666,0.4363813582522586,0.5442425116174461,0.0,0.5,0.8070827790216502,0.4418186063275863,0.15276058988648017,0.47742332536352267,9
NRN,Unknown,0.0,78419.5,141672765.24666667,0.4545427084425265,0.06030250605969667,0.0,0.5,0.8632207240916168,0.40741625465822406,0.08798090876429958,0.4670943902357393,10
NABIL,Unknown,0.0,51047.03333333333,25820079.621666666,0.1542230111798894,0.020950057564530056,0.0,0.5,0.15713706772106317,0.9763003811259857,0.0827132329457735,0.4670451554148638,11
SAHAS,Unknown,0.0,125250.54166666667,77716623.82916667,0.29985349851407433,0.17493491241860637,0.0,0.5,0.47430965946081216,0.7004381139176827,0.10332547760530698,0.4656365558926445,12
MFIL,Unknown,0.0,96488.475,73688238.10258333,0.302758335047408,0.3693796215960541,0.0,0.5,0.4493627167597144,0.6949355930745293,0.12935363421925133,0.4644771684644255,13
EBL,Unknown,0.0,50780.25,35509586.149166666,0.19113830082435745,0.1144010047036792,0.0,0.5,0.21615506287366112,0.9063731585890898,0.09522247476648807,0.46386879717530227,14
SANIMA,Unknown,0.0,96809.86666666667,32689213.399166666,0.19825031413219957,0.11798664530699443,0.0,0.5,0.19962951998099804,0.8929011435499943,0.09570244470539362,0.4572916788247769,15
NTC,Unknown,0.0,16405.95,14149041.384583334,0.14171174212818174,-0.04789758178233383,0.0,0.5,0.08555280138640366,1.0,0.07349736306172747,0.4568100328896262,16
SCB,Unknown,0.0,25162.925,16032028.019166667,0.15026576287231164,-0.009126946990353324,0.0,0.5,0.09714711987976428,0.9837964453774879,0.07868715793275577,0.45611596690687595,17
SBL,Unknown,0.0,95874.8,35401673.87833334,0.22888882819781722,0.3803389122648504,0.0,0.5,0.21613866717400995,0.8348637771389382,0.13082063291061122,0.4531078043016588,18
CHDC,Unknown,0.0,33482.89166666667,79239468.60833333,0.33140330023408865,0.0942763106622253,0.0,0.5,0.48228148014158595,0.6406745301257568,0.09252860517993812,0.450130649595744,19
CIT,Unknown,0.0,8590.191666666668,15838172.546666665,0.15589157605068796,-0.12507311183441538,0.0,0.5,0.09573073692870425,0.9731396824517695,0.06316673081435374,0.450064414161554,20
NLIC,Unknown,0.0,49542.175,39674212.83416667,0.24252014574838293,-0.026999634072185752,0.0,0.5,0.24150549776649882,0.8090424931937276,0.07629473954067997,0.44082067075986764,21
GBIME,Unknown,0.0,126185.11666666667,29810969.163333334,0.22212266286561194,0.013620711461657553,0.0,0.5,0.18251475448123378,0.8476806655736047,0.08173213467341436,0.43976954422433073,22
API,Unknown,0.0,161831.63333333333,48005128.714999996,0.27875872891991593,0.10348560097769699,0.0,0.5,0.2938476644865531,0.7403971298696628,0.0937613507334087,0.43762108551140805,23
KBL,Unknown,0.0,204136.725,39106613.525,0.25546717143022335,-0.0628755073570394,0.0,0.5,0.24024533554043792,0.7845174371867342,0.07149243428655226,0.43347691326208154,24
MEN,Unknown,0.0,75922.38333333333,46984926.43841667,0.2823690159775662,-0.0038282733954217996,0.0,0.5,0.28641226325061814,0.733558301055537,0.07939643259884704,0.43155131443377726,25
ADBL,Unknown,0.0,45249.7,14171462.690000001,0.2056688203935736,0.031057308358489966,0.0,0.5,0.08609933435183664,0.8788485506209776,0.08406617850913942,0.42874524022743965,26
STC,Unknown,0.0,1721.8333333333333,9421422.49,0.20065871546141492,0.13628411884231006,0.0,0.5,0.05654670346983298,0.8883390009438226,0.0981517245486527,0.4280244358396528,27
CBBL,Unknown,0.0,24995.791666666668,25091519.488333337,0.2415309877006515,0.09032314197453806,0.0,0.5,0.1523289144065247,0.8109162174850455,0.09199943833266451,0.4265947249190992,28
BPCL,Unknown,0.0,133611.89166666666,102855082.11833334,0.49095329306529456,0.9296969594422972,0.0,0.5,0.6275546394454714,0.3384450755577417,0.20435710170707685,0.4259936171199451,29
AKPL,Unknown,0.0,183681.975,48132923.26166666,0.307032802089587,0.16042204942769622,0.0,0.5,0.29493666081158826,0.6868386334958886,0.10138280160017381,0.4259735508563246,30
AHPC,Unknown,0.0,157282.01666666666,44569813.57,0.2946374810048625,0.08841302124648842,0.0,0.5,0.272857431403469,0.7103186165667432,0.09174375165612014,0.4254998907536036,31
SHPC,Unknown,0.0,97666.50833333333,52536410.90666666,0.3180586006581138,0.13260437924293722,0.0,0.5,0.3205371259824382,0.6659528845941757,0.09765915862080529,0.4251274780691926,32
NIFRA,Unknown,0.0,149188.04166666666,40547357.322500005,0.27753058050660717,-0.05733461926183214,0.0,0.5,0.24824036374980565,0.7427235644780025,0.07223413152137279,0.4247757901737363,33
NIMB,Unknown,0.0,101985.475,20254082.000833336,0.22240518110211574,-0.12092621499760714,0.0,0.5,0.12395684229973788,0.8471455020740087,0.06372182990029397,0.42432210995850855,34
SJLIC,Unknown,0.0,45082.78333333333,20491077.938333336,0.22986987061049452,-0.012443114501587527,0.0,0.5,0.1245916968313865,0.8330054259849822,0.07824325936793697,0.4238183477361102,35
ILI,Unknown,0.0,20483.666666666668,9276907.893333334,0.19644445820640902,-0.09391309885118138,0.0,0.5,0.05593308327323228,0.8963219074234061,0.06733777615393154,0.42373464874128425,36
SRLI,Unknown,0.0,30478.566666666666,12157612.729999999,0.20420162301187084,-0.11919160109024074,0.0,0.5,0.07362240721819295,0.8816278065554154,0.0639540234253153,0.4229222377675555,37
NMB,Unknown,0.0,48857.083333333336,11953013.748333333,0.21110879492948723,-0.06730393399580348,0.0,0.5,0.07263734631148147,0.8685438147342612,0.07089964992849639,0.42084335293156083,38
NBL,Unknown,0.0,61967.71666666667,15506541.1715,0.22307500512736564,-0.03972648621555053,0.0,0.5,0.09446932522676268,0.8458766800188301,0.07459113699890184,0.42028126244984043,39
SALICO,Unknown,0.0,7528.041666666667,4609523.369166667,0.18931144903821823,-0.2134331774793622,0.0,0.5,0.02731845872258704,0.9098336941184495,0.05133894883584659,0.4181899050412991,40
UPPER,Unknown,0.0,113232.14166666666,21100922.3075,0.2390789279241712,-0.09955343132284034,0.0,0.5,0.12927505854445562,0.8155610606195596,0.06658276740338188,0.41806183034445743,41
NIL,Unknown,0.0,10725.383333333333,6779902.679999999,0.19497209421101028,-0.24132477956550002,0.0,0.5,0.04058435568545493,0.8991109502767375,0.0476054094128258,0.41741569058884054,42
MNBBL,Unknown,0.0,78621.99166666667,32367592.704166666,0.2739873645577961,-0.023657170389662974,0.0,0.5,0.19741192336664956,0.7494353430536291,0.076742158082296,0.4171896520531964,43
LSL,Unknown,0.0,112899.175,25553708.16,0.25478953801755155,-0.07452827262927852,0.0,0.5,0.1563936245805478,0.7858010522660877,0.06993260784141826,0.41671550955091513,44
DDBL,Unknown,0.0,10137.008333333333,8748336.089166667,0.21916181491079534,0.06537961475999765,0.0,0.5,0.05256633097530711,0.8532892867121199,0.0886605249953427,0.4165676928721599,45
GBBL,Unknown,0.0,34308.63333333333,14000540.813333334,0.23049883583237238,-0.005331878108685517,0.0,0.5,0.08490269023597578,0.8318140011997018,0.07919516171249663,0.41577307068961994,46
SONA,Unknown,0.0,36586.441666666666,15956032.354166666,0.23270516963257934,-0.13788106881587603,0.0,0.5,0.09684656982063987,0.8276346273921644,0.0614522716674407,0.4135684251456572,47
SHINE,Unknown,0.0,27590.391666666666,11355948.1175,0.2258335874849739,-0.0631725580389364,0.0,0.5,0.06869816983982781,0.8406512028719717,0.07145267140638235,0.41319296896723495,48
LBBL,Unknown,0.0,136555.89166666666,68258881.79166667,0.37894195111540063,0.038862547761597144,0.0,0.5,0.41686030540952557,0.5506238803462973,0.08511097933942585,0.4130502270363646,49
CZBIL,Unknown,0.0,49000.208333333336,9808241.151666665,0.2226661088208913,-0.09049826003104666,0.0,0.5,0.05957490602110188,0.8466512366671113,0.06779488275250055,0.41213676692149825,50
HLI,Unknown,0.0,50824.433333333334,19325783.935,0.24270172717506788,-0.1859016012131729,0.0,0.5,0.11757513633720401,0.8086985304358931,0.055024295595429394,0.41169451899549997,51
HBL,Unknown,0.0,76241.86666666667,14934222.38975,0.23011259308152643,-0.21643744531882003,0.0,0.5,0.09118603346935487,0.8325456460832119,0.050936800820781364,0.4115609783788302,52
PRVU,Unknown,0.0,129555.56666666667,25476391.020833332,0.26334240249787333,-0.1347362790436748,0.0,0.5,0.1561594001603454,0.7695996879099231,0.06187322979510097,0.41100644796857005,53
OMPL,Unknown,0.0,17068.716666666667,22546721.117500003,0.6523799272893478,6.873588963103644,0.0,0.5,0.13671509095304818,0.032660770910980186,1.0,0.41050821091835465,54
SARBTM,Unknown,0.0,31100.091666666667,27700655.726666667,0.28068553786466277,0.030621614723021384,0.0,0.5,0.1683087325448255,0.7367472493143957,0.08400785703447626,0.4096501302444593,55
KSBBL,Unknown,0.0,44703.99166666667,21720382.11,0.2656604955304662,0.02003800545919243,0.0,0.5,0.13207438570515875,0.7652086128591103,0.08259114664608334,0.40923525968502594,56
SHEL,Unknown,0.0,185502.89166666666,55386626.09566667,0.36210090011056895,0.16220632211281627,0.0,0.5,0.33914709342897525,0.5825252397210179,0.10162164239500308,0.40878505709505014,57
PCBL,Unknown,0.0,61305.725,15170579.711833334,0.24446308723278062,-0.07999205017690136,0.0,0.5,0.09241347093927373,0.8053620533850695,0.0692012325403629,0.40866345404219473,58
MANDU,Unknown,0.0,2836.358333333333,2345673.0566666666,0.2066546938912853,-0.1605084905111247,0.0,0.5,0.013461961760244653,0.8769810481272502,0.058423389687853246,0.40862233232143214,59
MBL,Unknown,0.0,61893.3,14330130.548333334,0.24818457863228618,0.01082604822567923,0.0,0.5,0.08730238587258003,0.7983125744355967,0.08135804410187357,0.4083102296037899,60
CHCL,Unknown,0.0,37840.34166666667,18596296.867500003,0.25486155614142847,-0.09819332547502191,0.0,0.5,0.11294706091953459,0.7856646310860418,0.06676482968817388,0.40735853589305215,61
SBI,Unknown,0.0,34931.6,13934723.118333334,0.2462203290632541,-0.03877275289765392,0.0,0.5,0.08451062851973407,0.8020333773347361,0.07471880270022722,0.4073542305776763,62
JBBL,Unknown,0.0,59272.916666666664,20019497.846666668,0.26172191658600463,-0.06890684738678243,0.0,0.5,0.1219208415197632,0.7726693124494701,0.07068508569090165,0.4066885135545005,63
RNLI,Unknown,0.0,61406.45,29421571.22416667,0.28209144699340977,-0.165845293819047,0.0,0.5,0.17922210811868525,0.7340840893755362,0.05770901101998395,0.4059072461716179,64
HEI,Unknown,0.0,10878.65,5660519.788333333,0.22015607364021408,-0.21066031066294733,0.0,0.5,0.03376802599233556,0.851405900394393,0.051710121762446465,0.40494710464955463,65
HIDCLP,Unknown,0.0,195425.425,37448026.87749999,0.32078491627305306,0.07582081484039072,0.0,0.5,0.23001855608950522,0.6607885291049524,0.09005817264582204,0.40421247802330357,66
FOWAD,Unknown,0.0,2954.358333333333,3253512.3358333334,0.2217710217459706,-0.16818398724124795,0.0,0.5,0.018993569282398693,0.8483467659093491,0.05739595607021159,0.40236459654785933,67
HIDCL,Unknown,0.0,131320.95833333334,35586157.95166667,0.31337539496212624,-0.0517872881052982,0.0,0.5,0.21776621508288574,0.6748241021856772,0.07297669121735255,0.40185460680646695,68
UPCL,Unknown,0.0,149250.975,56778497.78666667,0.3865521167512318,0.2489799215837305,0.0,0.5,0.34711016469198197,0.536208234388088,0.11323706174243056,0.40112150388390444,69
LICN,Unknown,0.0,16414.425,14412367.656666668,0.2469484566363908,-0.28107618311381133,0.0,0.5,0.08715692376801076,0.8006541130967373,0.04228432990618139,0.4010517790090228,70
CGH,Unknown,0.0,36191.74166666667,33348026.540833335,0.30980362842693804,-0.07657341532911432,0.0,0.5,0.20278098615741444,0.6815899630460802,0.06965884727105164,0.39988545744721327,71
SKBBL,Unknown,0.0,18787.758333333335,16132533.016666668,0.26538219396911245,-0.08289848020528712,0.0,0.5,0.09766871636174174,0.7657357888721006,0.06881218098793798,0.3997301266879611,72
NMFBS,Unknown,0.0,4954.575,6211957.716083334,0.23792315281698406,-0.14425781399793525,0.0,0.5,0.037042806084261526,0.8177504012397,0.06059868751496893,0.3989658990297711,73
NICFC,Unknown,0.0,12162.15,113885.47658333335,0.2345875414793261,0.06603204937337392,0.0,0.5,0.0,0.824068922333573,0.0887478591808248,0.39876680241955814,74
ICFC,Unknown,0.0,23968.658333333333,15887496.384166667,0.27372940325748063,0.03653649220209232,0.0,0.5,0.09624975872228034,0.7499239892873928,0.08479961608016495,0.39869087228233724,75
SWMF,Unknown,0.0,4552.85,3160648.7908333335,0.23021120698604913,-0.16294831245596486,0.0,0.5,0.018450628104374346,0.8323588455321881,0.05809679778438065,0.39839919656079803,76
SADBL,Unknown,0.0,41109.65833333333,17092341.849166665,0.2757177375295586,0.00325888687653042,0.0,0.5,0.1038324718215193,0.7461575636556176,0.08034511214012557,0.39837490770623335,77
ALBSL,Unknown,0.0,23723.125,25716094.036833335,0.3165536997594683,0.318918160830185,0.0,0.5,0.1561153030489385,0.6688035608600011,0.12259891813909388,0.3979437344526067,78
NICLBSL,Unknown,0.0,10351.216666666667,5988583.3758333335,0.23792871719662112,-0.20270106979394786,0.0,0.5,0.03575886652834438,0.817739860847984,0.05277553706092789,0.39714184592985047,79
LEC,Unknown,0.0,213146.25,47579088.697916664,0.35807515978301163,-0.0020730245833491256,0.0,0.5,0.29198186025769834,0.5901510457886954,0.07963138828969783,0.3968604111566531,80
NICA,Unknown,0.0,72452.45,24401280.054166667,0.2898630856246034,-0.15453319296562606,0.0,0.5,0.14879895627550363,0.7193625712925471,0.05922323649771026,0.39644508137777956,81
SPIL,Unknown,0.0,10573.425,7815920.408333333,0.2444941988416166,-0.209566335785493,0.0,0.5,0.04689290092993265,0.8053031198533132,0.051856560045918175,0.3960756721584984,82
NMLBBL,Unknown,0.0,11460.133333333333,7543760.201666667,0.2500697277982156,-0.09894772717084765,0.0,0.5,0.04524769160643123,0.7947416084074066,0.06666384630029028,0.39606770968319593,83
RIDI,Unknown,0.0,220822.70833333334,63313074.985,0.4218416307394976,0.3752750371436602,0.0,0.5,0.38793155250351685,0.46936065655129433,0.13014278811202887,0.39595503226093265,84
SWBBL,Unknown,0.0,7892.425,6391073.519166666,0.2446824004585051,-0.16211343463885464,0.0,0.5,0.03817561177517682,0.8049466167221523,0.058208553618052744,0.39551348725918395,85
SFEF,Unknown,0.0,69592.80833333333,706678.573,0.2450406162026887,0.0783400674076764,0.0,0.5,0.004427151638905688,0.8042680623263723,0.0903953970457493,0.39503152531852403,86
HDHPC,Unknown,0.0,162964.09166666667,32224309.196666665,0.3204292942293061,-0.03898922525236859,0.0,0.5,0.19773789814548362,0.661462170353108,0.07468982594701579,0.3948510874067769,87
MKJC,Unknown,0.0,45466.35833333333,25448306.811666667,0.30158716023222043,-0.052859061762040804,0.0,0.5,0.15479316587734232,0.6971541047730689,0.0728332247650618,0.394813804321748,88
SPDL,Unknown,0.0,135521.41666666666,55796526.483333334,0.3949989136095933,0.19181446392812895,0.0,0.5,0.3409335341912287,0.5202077898750619,0.10558495595327302,0.3943556454976658,89
SICL,Unknown,0.0,9628.916666666666,6293512.540833334,0.24144093477581208,-0.26718892811042505,0.0,0.5,0.03760601847680753,0.8110868012993944,0.044143262708698824,0.39412155656194986,90
JBLB,Unknown,0.0,10148.433333333332,14595709.090000002,0.2779227195062529,-0.04210143216583773,0.0,0.5,0.08818465436142851,0.7419807505557032,0.0742732293252746,0.39298676437626645,91
HURJA,Unknown,0.0,119764.375,30054303.842499997,0.325419162576,0.06641312912609476,0.0,0.5,0.1839057230559667,0.6520100534208122,0.08879887010073195,0.39254343198654273,92
HLBSL,Unknown,0.0,3040.8166666666666,2868634.495833333,0.24479467688609774,-0.11581698396608597,0.0,0.5,0.016650387925579938,0.8047339357757604,0.06440574599154589,0.39239471072736526,93
UMRH,Unknown,0.0,20269.95,11717253.302500002,0.26633188483403814,-0.1697249666046564,0.0,0.5,0.0707949458368466,0.7639368257570199,0.057189682253971884,0.3915811320574187,94
NBF2,Unknown,0.0,36674.78333333333,359640.96625,0.2484004789989664,0.01439706014408726,0.0,0.5,0.0018453722856462476,0.7979036026211521,0.08183605586097864,0.391212186284613,95
SJCL,Unknown,0.0,17155.975,5120618.9125,0.24947287411685085,-0.1844290550134593,0.0,0.5,0.03056854242105209,0.7958722055285649,0.0552214090230436,0.3911260416709603,96
IGI,Unknown,0.0,16548.483333333334,7334163.89275,0.2469159913126963,-0.33750525552359667,0.0,0.5,0.044043296542216066,0.8007156109188209,0.03473079584256672,0.39093372120666176,97
SGIC,Unknown,0.0,17877.458333333332,8823211.423333334,0.25449446899257433,-0.34464749759312485,0.0,0.5,0.05313243529150446,0.786359990244688,0.03377474311196384,0.38897143324186567,98
NHPC,Unknown,0.0,126091.5,27136724.134999998,0.32600638095184026,0.0292128982173796,0.0,0.5,0.16622376870765926,0.650897708090717,0.08381928778006661,0.38773303832022443,99
MDB,Unknown,0.0,21913.458333333332,13516341.629999999,0.2869027590378381,-0.04786142665627369,0.0,0.5,0.08177710963931535,0.7249702048234856,0.07350220274745341,0.3872984136832251,100
NIMBPO,Unknown,0.0,11632.058333333332,1842995.4116666666,0.25906145412641934,-0.014387935108841732,0.0,0.5,0.010525010229094994,0.7777089248229399,0.07798292780342295,0.38712881881223854,101
ILBS,Unknown,0.0,11745.975,13289190.294999998,0.2853361588160876,-0.13012058197375687,0.0,0.5,0.08024894945124719,0.7279377557593649,0.06249108196874233,0.3855324452238391,102
MHL,Unknown,0.0,28507.491666666665,14687337.740000002,0.27668339830816296,-0.38062631071081476,0.0,0.5,0.08900373119537049,0.7443283493433106,0.02895865844412921,0.38467456526372756,103
NLG,Unknown,0.0,29571.975,21652564.735833336,0.30136794686766993,-0.28844388743393645,0.0,0.5,0.1314462168565011,0.6975693522727804,0.04129809704471306,0.3839412008484379,104
NMIC,Unknown,0.0,15931.166666666666,21332019.725833334,,0.0,0.0,0.5,0.12929980028788787,0.666659769687137,0.07990888109856993,0.3835066786990758,105
TAMOR,Unknown,0.0,15020.283333333333,7019318.374166667,0.2660808273803842,-0.26859087372723334,0.0,0.5,0.0421037545276176,0.7644123942978681,0.04395559979808078,0.3833149694396067,106
GILB,Unknown,0.0,3553.3416666666667,4439932.213333333,0.2692113819528067,-0.12068971332698386,0.0,0.5,0.026228933802139642,0.7584823043985873,0.06375348775587915,0.38261706041125054,107
FMDBL,Unknown,0.0,40842.74166666667,34548349.74916667,0.35291612344500445,-0.026615357896180525,0.0,0.5,0.21015863171526783,0.5999236111825531,0.0763461783303204,0.3822818648047559,108
UAIL,Unknown,0.0,23032.775,11052026.101666667,0.2734804819449858,-0.38635091380018893,0.0,0.5,0.0667821089955987,0.7503955114176711,0.028192369320638976,0.3815937735176653,109
TRH,Unknown,0.0,5081.425,3992152.173333333,0.26241327784622903,-0.3424320818448984,0.0,0.5,0.023523085549688544,0.7713596932330774,0.03407129624680493,0.379358799667568,110
GBLBS,Unknown,0.0,5248.633333333333,4145183.065833333,0.27609141719941427,-0.11522437692033227,0.0,0.5,0.024457620680423807,0.7454497165363568,0.06448507172410325,0.3791509676149946,111
PMLI,Unknown,0.0,13290.525,6679277.006666667,0.27787167079035663,-0.20359456327844305,0.0,0.5,0.04000787202931424,0.7420774501875111,0.05265593499797458,0.37905212395233556,112
MLBL,Unknown,0.0,38041.61666666667,14588802.115,0.3043687114034269,-0.12436649459613303,0.0,0.5,0.08853902922458615,0.6918851186803141,0.06326131782688768,0.37833134908037325,113
RSDC,Unknown,0.0,16327.091666666667,10782972.693333331,0.3001218344145284,-0.06150628862540841,0.0,0.5,0.06504791305243758,0.6999298154753191,0.07167571641202843,0.377327179761723,114
MATRI,Unknown,0.0,1674.325,1702569.1683333335,0.2623968315297442,-0.3158744226477421,0.0,0.5,0.00952810063836005,0.7713908468619348,0.03762627553015751,0.37727858694918726,115
PRIN,Unknown,0.0,13891.966666666667,9817538.045833332,0.28593777166240103,-0.2948926698540689,0.0,0.5,0.05913254086507905,0.7267981435339055,0.04043487006615186,0.3766130180697225,116
VLUCL,Unknown,0.0,10901.433333333332,6365509.8175,0.28081500613891497,-0.24753448021693847,0.0,0.5,0.03806266255153314,0.7365020025098252,0.046774185658962415,0.3760928702695554,117
OHL,Unknown,0.0,8708.175,6535398.474166666,0.27969168251174836,-0.28584153944506496,0.0,0.5,0.03906633410199508,0.7386298715314246,0.041646444507109255,0.375800023604677,118
GVL,Unknown,0.0,87231.34166666666,45820645.945,0.3942708501220364,-0.05555749824322265,0.0,0.5,0.27948100482683563,0.5215869327181957,0.07247201500192606,0.37578733714530127,119
MBJC,Unknown,0.0,38117.35,11254057.896666666,0.3005345056147675,-0.1527045279554725,0.0,0.5,0.06822714518243733,0.6991481081900286,0.05946801960073252,0.3753260600041411,120
SHL,Unknown,0.0,36486.84166666667,19118998.90658333,0.33086572620787114,0.008785363750875907,0.0,0.5,0.11611176364889303,0.6416928360614114,0.08108488030464546,0.3748625378060605,121
AVYAN,Unknown,0.0,3981.9,3960399.640833333,0.28278516569916357,-0.1565118829330756,0.0,0.5,0.023314043423522304,0.7327700045401617,0.058958371217594986,0.3746469840632639,122
MEL,Unknown,0.0,26931.883333333335,7768101.83175,0.29286146844958716,-0.17568558397433265,0.0,0.5,0.04683412685251826,0.7136828492837868,0.056391800516433076,0.374065897794737,123
BHL,Unknown,0.0,209773.725,41578674.04666667,0.36582675705972406,-0.46171787886751803,0.0,0.5,0.25538354124859713,0.5754674912776638,0.018103829608818237,0.373564346990899,124
NMBMF,Unknown,0.0,4130.758333333333,2864118.8399999994,0.2847663188630742,-0.1390553082424807,0.0,0.5,0.016638373068930595,0.7290171818071776,0.06129508925899552,0.3728409879173796,125
SMPDA,Unknown,0.0,8464.608333333334,7953827.384166667,0.30144392048893004,-0.09891837076704046,0.0,0.5,0.047702962325745106,0.6974254383451921,0.06666777591647345,0.3722305072347417,126
GCIL,Unknown,0.0,22486.05,10123363.639166666,0.2972821784073983,-0.28380300181006435,0.0,0.5,0.0611175675182129,0.7053088673384155,0.04191932093070376,0.3719345945243872,127
MSHL,Unknown,0.0,2428.4333333333334,2138745.1991666663,0.2824242115742332,-0.20651382204837243,0.0,0.5,0.012195702193895042,0.733453746145949,0.05226516620420395,0.3712556102161071,128
GMFIL,Unknown,0.0,27812.541666666668,13190635.285,0.3183331995418334,-0.11482048166985948,0.0,0.5,0.07987697536235387,0.6654327224219381,0.06453913670164574,0.37024140301828445,129
SPC,Unknown,0.0,21949.458333333332,11405115.796666665,0.30952856492310316,-0.19018028460593772,0.0,0.5,0.06891749050660291,0.6821110053304476,0.05445155570489972,0.3702015605749124,130
PFL,Unknown,0.0,13035.841666666667,5017451.285833333,0.2932371429455868,-0.1900500348415186,0.0,0.5,0.02988155674870523,0.7129712234415895,0.054468990796250734,0.37011291536938856,131
ULHC,Unknown,0.0,18718.191666666666,9268846.714166665,0.31681384561019865,0.018233900494279975,0.0,0.5,0.05585888733705997,0.6683107765158642,0.08234965112391984,0.36971940182116203,132
NRM,Unknown,0.0,58027.96666666667,28046652.674166664,0.3545603530515649,-0.19358693190631326,0.0,0.5,0.1707990345802195,0.5968090098694645,0.053995545614227994,0.36916116850625563,133
CREST,Unknown,0.0,20433.325,26980964.336666666,0.6652813476917758,5.329055599486296,0.0,0.5,0.16377326190536615,0.008222103242072287,0.7932504491700653,0.3684602680256044,134
GLH,Unknown,0.0,50795.76666666667,13493345.4025,0.3307602952014712,0.022185578005308848,0.0,0.5,0.08204753836899158,0.6418925499880207,0.08287861836391297,0.36845836884358607,135
PROFL,Unknown,0.0,15184.691666666668,7269287.552499999,0.3022340108791836,-0.20987439867410507,0.0,0.5,0.043628731001201064,0.6959288003105017,0.0518153230837727,0.36807101089462013,136
PPCL,Unknown,0.0,35239.99166666667,12312534.993333336,0.3400126762696332,0.22001067212946102,0.0,0.5,0.07463376113545878,0.6243661180899986,0.10935926961852122,0.3678901356732956,137
MPFL,Unknown,0.0,24678.975,15050085.235833336,0.3321362176494172,-0.04588708401679498,0.0,0.5,0.09115892368165607,0.6392861926727273,0.07376648609898982,0.367806630124311,138
KMCDB,Unknown,0.0,6743.816666666667,7042310.282499999,0.30235411269565654,-0.21105525104562572,0.0,0.5,0.042126171478636794,0.6957012960289839,0.051657255473736376,0.3676820093977206,139
MSLB,Unknown,0.0,6143.05,9005277.733333332,0.31743566290090913,-0.06182447445995687,0.0,0.5,0.054074675798966694,0.6671328917834518,0.07163312440338494,0.3669247829863333,140
MERO,Unknown,0.0,11777.933333333332,9269355.803333335,0.31854431941610173,-0.0631906244970678,0.0,0.5,0.05576334607371342,0.6650328061115934,0.07145025305000902,0.3667009213526428,141
NIBLSTF,Unknown,0.0,47936.25833333333,416411.83349999995,0.30524583615215917,0.09980242168937048,0.0,0.5,0.00235124121038757,0.6902236147861842,0.09326832437255096,0.3666798168131337,142
SMJC,Unknown,0.0,15978.775,8449070.781666666,0.3019239539882354,-0.32149737108631193,0.0,0.5,0.050826442606606216,0.6965161292308826,0.03687359378730964,0.3666690395865038,143
ENL,Unknown,0.0,1616.85,1530850.6316666666,0.28819941461269644,-0.2595355943785844,0.0,0.5,0.008481292921912176,0.722513999716873,0.04516772961157218,0.3663583044359151,144
SIFC,Unknown,0.0,25844.65,14696690.850833332,0.3449365917866633,0.12705706686637774,0.0,0.5,0.08902285677307872,0.6150389330826928,0.09691660143869242,0.3659476249130274,145
GHL,Unknown,0.0,105046.75833333333,24763856.279166665,0.35219679904508255,-0.21788735302676332,0.0,0.5,0.15147078516457096,0.6012861999059249,0.05074271775697491,0.36576425056079037,146
